epoch,loss,segmentation_loss,topology_loss,topology_seconds,topology_seconds_total,validation_loss,epoch_seconds
1,0.37259397298097613,0.37259397298097613,4.4088264070651914e-08,0.015215971000046314,4.564791300013894,0.30556052873531975,80.37048210000012
2,0.26582811231414477,0.26582811231414477,3.2407452904929335e-08,0.014311855666646807,4.293556699994042,0.218680223574241,14.701364600000488
3,0.20708785583575567,0.20708785583575567,2.7595913507649784e-08,0.01491864633330503,4.475593899991509,0.18294401839375496,15.115217100000336
4,0.17505092238386472,0.17505092238386472,2.4696466567331042e-08,0.013788698999972742,4.136609699991823,0.17356061885754268,14.241913299999396
5,0.15685958983997503,0.15685958983997503,2.3074095936159722e-08,0.013928222333346034,4.17846670000381,0.14950911638637385,14.300051299999723
6,0.1471956924845775,0.1471956924845775,2.2617628334387073e-08,0.014225482333361773,4.267644700008532,0.14412182370821636,14.62516610000057
7,0.14161390682061514,0.14161390682061514,2.005833270294725e-08,0.01391326099998878,4.173978299996634,0.13737718711296718,14.414994300000217
8,0.13608733870089054,0.13608733870089054,1.956628854271614e-08,0.013561759000025025,4.0685277000075075,0.13704382479190827,14.453628700000081
9,0.13483737585445246,0.13483737585445246,1.922382924619363e-08,0.01391000833332934,4.173002499998802,0.13854053616523743,14.39149499999985
10,0.13052741651733715,0.13052741651733715,1.8279049134710863e-08,0.013820033333313404,4.146009999994021,0.12946927125255267,14.539859600000455
11,0.13016083158552647,0.13016083158552647,1.8597133745930824e-08,0.013960732666679784,4.188219800003935,0.1341001057376464,14.68638379999993
12,0.1284950800985098,0.1284950800985098,1.9366653781031454e-08,0.013728037333360893,4.118411200008268,0.15143398232758046,14.379051299999446
13,0.12786599809924762,0.12786599809924762,2.0358403770940707e-08,0.01357215966665232,4.071647899995696,0.13676237637797992,14.164566399999785
14,0.12630380113919576,0.12630380113919576,1.9060302129947358e-08,0.013926433999965107,4.177930199989532,0.1310887491951386,14.42089709999982
15,0.12213828230897586,0.12213828230897586,1.9061098892603213e-08,0.014023795666629061,4.207138699988718,0.13781736368934314,14.520926399999553
16,0.12046011586983998,0.12046011586983998,1.7542653891292985e-08,0.014332482333338703,4.299744700001611,0.1394375124325355,14.80818360000012
17,0.12210584558546543,0.12210584558546543,1.773868052186896e-08,0.013690192000033978,4.107057600010194,0.1333183940500021,14.382213199999569
18,0.11920913852751255,0.11920913852751255,1.845656624374116e-08,0.01407932300002964,4.223796900008892,0.13054984075327714,14.561676199999965
19,0.11676839460929235,0.11676839460929235,1.8119187595866392e-08,0.013903740666679975,4.1711222000039925,0.13061590281625587,14.232585899999322
20,0.11595517829060555,0.11595517829060555,1.7858443868238688e-08,0.0138316476666508,4.14949429999524,0.1381606371452411,14.31656109999949
