epoch,loss,segmentation_loss,topology_loss,topology_seconds,topology_seconds_total,validation_loss,epoch_seconds
1,0.3730593510468801,0.3730158232649167,0.02176447375367085,0.41321533999999777,123.96460199999933,0.2996808931231499,215.28364870000019
2,0.2663366016248862,0.2662818638483683,0.013684468225886424,0.4209420416666717,126.2826125000015,0.2197805680334568,153.86716180000008
3,0.2080472341676553,0.20799379279216132,0.008906894382477427,0.42051668300000683,126.15500490000204,0.18528033395608265,153.8314302000001
4,0.17568884740273158,0.17561786606907845,0.00887265834103649,0.4099650209999936,122.98950629999808,0.17723439907034239,150.4445126999999
5,0.15743908775349458,0.15734942932923635,0.008965855605589847,0.41630164033333433,124.8904921000003,0.15456370723744234,151.83712779999996
6,0.1470207414527734,0.14692625239491464,0.009448913446976803,0.41361617466667816,124.08485240000346,0.1439228427906831,151.23563289999993
7,0.14237250198920567,0.14227947356800238,0.009302868314067987,0.4714529070000132,141.43587210000396,0.13875719780723253,172.39177429999972
8,0.13596075408160688,0.13586000914374988,0.010074475117168429,0.497888710666654,149.3666131999962,0.1355132809529702,182.17323570000008
9,0.13465145016709965,0.1345477515210708,0.010369880679791095,0.42040878366667284,126.12263510000184,0.13993077737589676,153.73724900000025
10,0.13160794652998448,0.13149512760341167,0.011281874807888623,0.40848783199999766,122.5463495999993,0.1304023589938879,149.25997589999997
11,0.1305728992819786,0.13047332706550757,0.009957228523562662,0.4163647056666635,124.90941169999905,0.13424897082149984,152.44645790000004
12,0.12871115850905576,0.1286035043746233,0.010765395047686373,0.4107508276666673,123.2252483000002,0.14848189800977707,150.29017870000007
13,0.126937854886055,0.12682429904739062,0.011355580588036294,0.4161418886666585,124.84256659999755,0.13811468531688054,152.70369579999988
14,0.12413896764318148,0.12403407638271649,0.010489138772245497,5.433526381666649,1630.0579144999947,0.13113406623403231,1964.8246100000001
15,0.12034728509684403,0.12024153659741084,0.010574855303081374,0.4471473476666476,134.14420429999427,0.13900151948134104,164.31832189999932
16,0.11982883942623933,0.11971610739827156,0.011273217265261338,0.4392566713333266,131.77700139999797,0.14257262609899043,161.16438089999974
17,0.1209344066431125,0.12083043498297533,0.010397171543833489,0.43420536533330356,130.26160959999106,0.13202527376512688,159.45358680000027
18,0.11974784371753534,0.11963492050766945,0.011292306603875962,0.4455201583333322,133.65604749999966,0.12905765684942405,163.53331059999982
19,0.11619861610233784,0.11609030594428381,0.010831037829048,0.43112744200000025,129.33823260000008,0.13003114784757297,157.58114709999973
20,0.11618465691804886,0.11608798543612163,0.009667156978878969,0.4313486503333661,129.40459510000983,0.13583242284754912,158.12503000000015
